Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
0.0,Tue Mar 20 19:03:04 +0000 2018,0.0,1.0,0.0,"Michael Portillo travels across India guided by Bradshaw's 1913 Handbook of Indian, Foreign and Colonial Travel. ??… https://t.co/4WG0esDk8m",0,@BBC
-0.3859,Tue Mar 20 18:33:01 +0000 2018,0.16,0.768,0.071,"Can you watch this without laughing? ?? You'll want your sound on for this! #InternationalDayOfHappiness

https://t.co/vA5yr0PCC5",1,@BBC
0.34,Tue Mar 20 17:33:03 +0000 2018,0.102,0.738,0.16,"Professor Stephen Hawking's funeral will take place in Cambridge - ""the city that he loved so much and which loved… https://t.co/LHh0Nfeh6U",2,@BBC
0.0,Tue Mar 20 17:03:01 +0000 2018,0.0,1.0,0.0,"Un-bee-lievable! ?? Meet the woman who kept a bee as a pet. 
https://t.co/5zRxWpSGOH",3,@BBC
0.0,Tue Mar 20 16:05:04 +0000 2018,0.0,1.0,0.0,"Arise, Sir Ringo! ??@thebeatles drummer @ringostarrmusic has been knighted for his services to music.… https://t.co/OQLixgO2Zi",4,@BBC
0.0,Tue Mar 20 15:33:03 +0000 2018,0.0,1.0,0.0,The first polar bear cub to be born in the UK for 25 years has emerged from his den at Scotland's Highland Wildlife… https://t.co/WZLoy2mz7y,5,@BBC
0.4084,Tue Mar 20 15:03:02 +0000 2018,0.0,0.868,0.132,"'Everybody has a voice'. ????

Rugby legends JPR Williams and JJ Williams visit @FMNChorus and the BBC National Cho… https://t.co/myuIpumZnL",6,@BBC
0.6369,Tue Mar 20 14:24:06 +0000 2018,0.0,0.741,0.259,?The best pictures from the 2018 Paralympic Winter Games in Pyeongchang: https://t.co/w8dYDPHkAw https://t.co/0SVnupv9rB,7,@BBC
0.0,Tue Mar 20 14:03:04 +0000 2018,0.0,1.0,0.0,Prince Harry and Meghan Markle have chosen an organic lemon and elderflower cake for their wedding in May. ???… https://t.co/H7dWlxmYcR,8,@BBC
0.2235,Tue Mar 20 13:16:25 +0000 2018,0.0,0.881,0.119,"RT @BBCWalesNews: ???Cinema makes maths class an offer they can't refuse
Full story: https://t.co/Uwg6NTRFVF https://t.co/hr4dglHIu3",9,@BBC
-0.4023,Tue Mar 20 13:02:01 +0000 2018,0.162,0.838,0.0,"People always have an opinion. ?? Here's why @AlanCarr doesn't trust TripAdvisor reviews. #LiveAtTheApollo 

https://t.co/PvF6K9hYMI",10,@BBC
0.6114,Tue Mar 20 11:03:23 +0000 2018,0.0,0.818,0.182,"From a spot of spring cleaning to rolling cheese down a hill... ???

Here are nine ways to celebrate spring!… https://t.co/ujBmBsHast",11,@BBC
-0.6369,Tue Mar 20 10:30:04 +0000 2018,0.271,0.636,0.093,"Sudan, the world's last surviving male northern white rhino has died after months of ill health. ??… https://t.co/BnYne3cI2L",12,@BBC
0.3642,Tue Mar 20 10:04:02 +0000 2018,0.0,0.827,0.173,"This #InternationalDayOfHappiness, let's all try to be a little more like @chessmartinez. ??#LiveAtTheApollo 

https://t.co/VddL8zWJfS",13,@BBC
0.0,Tue Mar 20 09:49:33 +0000 2018,0.0,1.0,0.0,"RT @BBCOne: They've finally quacked the case.

https://t.co/eq4dLcauhe",14,@BBC
-0.3182,Tue Mar 20 09:49:23 +0000 2018,0.19,0.683,0.127,"RT @BBCEarth: Sudan’s death leaves just two females of the subspecies alive in the world 
https://t.co/kCpRCxFaFY",15,@BBC
0.25,Tue Mar 20 09:49:10 +0000 2018,0.087,0.78,0.133,RT @bbcthree: RuPaul is the first drag queen to get a Hollywood star. Sissy that Walk of Fame.  https://t.co/SmqOPQizh3 https://t.co/hWb1Xm…,16,@BBC
0.0,Tue Mar 20 09:49:02 +0000 2018,0.0,1.0,0.0,"RT @BBCBreakfast: ????BBRRR....Could it be the coldest day yet for the Spring Equinox?
Let us know what temp it is where you are today.  #S…",17,@BBC
0.4939,Tue Mar 20 09:32:02 +0000 2018,0.0,0.814,0.186,"Meet Bumblebee and Gnat, two adorable badger cubs being raised at an animal sanctuary. ?
https://t.co/Ihami0VtL0",18,@BBC
0.0,Tue Mar 20 09:03:04 +0000 2018,0.0,1.0,0.0,Spring is here! But what is the #SpringEquinox? ????https://t.co/RiWP3PC7Yo https://t.co/FIKocYFP6C,19,@BBC
0.0,Tue Mar 20 08:25:06 +0000 2018,0.0,1.0,0.0,Five times Beyonce and Jay-Z’s daughter Blue Ivy outshone her parents. ?? https://t.co/JaNAzsofOm https://t.co/DnoyApY0yL,20,@BBC
0.0,Tue Mar 20 08:03:03 +0000 2018,0.0,1.0,0.0,Traditional Highland Games sports such as tossing the caber and tug-of-war are to be taught in PE lessons. ?… https://t.co/jv5wlpmlyT,21,@BBC
-0.3818,Mon Mar 19 19:33:04 +0000 2018,0.11,0.89,0.0,"Follow the dramatic and deadly series of events that took place at two funerals in Belfast in March 1988. 

The Fun… https://t.co/y3MZaR8hsi",22,@BBC
0.1531,Mon Mar 19 18:33:05 +0000 2018,0.116,0.709,0.175,"Leonardo DiCaprio stars in the true story of a con man who cashed fake cheques worth millions. 

Catch Me If You Ca… https://t.co/HWShPj9ngi",23,@BBC
-0.1027,Mon Mar 19 18:03:01 +0000 2018,0.08,0.92,0.0,"?? @AlanCarr learned the hard way that you only get one shot at a school photo. #LiveAtTheApollo 

https://t.co/fv5JmcRgz4",24,@BBC
0.0,Mon Mar 19 17:30:08 +0000 2018,0.0,1.0,0.0,?Pop band @FifthHarmony have announced they're taking a break to pursue solo careers ?https://t.co/tLOR7h1gZy https://t.co/5c77Cfjfp6,25,@BBC
-0.7096,Mon Mar 19 17:00:05 +0000 2018,0.414,0.442,0.144,"Murder. Innocence. Lies. 

@AgathaChristie classic, #OrdealByInnocence, comes to @BBCOne soon.
https://t.co/qfJThHowXC",26,@BBC
0.0,Mon Mar 19 16:33:29 +0000 2018,0.0,1.0,0.0,Here are the latest snow scenes from around the UK. ??? https://t.co/eTBGkQ4MPU https://t.co/txRHxkOn5C,27,@BBC
0.0,Mon Mar 19 15:02:02 +0000 2018,0.0,1.0,0.0,'Flabbergasted'. ?This is the incredible moment when eight London teenagers heard a live opera singer for the first… https://t.co/jNki4Z61SE,28,@BBC
0.0,Mon Mar 19 14:30:08 +0000 2018,0.0,1.0,0.0,"Meet the dancing slum kids tipped for stardom by Rihanna ?
https://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ",29,@BBC
0.6588,Mon Mar 19 13:44:55 +0000 2018,0.0,0.788,0.212,"RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! ? 

Yesterday we did an amazing 431 million steps – can we do even better…",30,@BBC
-0.3412,Mon Mar 19 13:03:04 +0000 2018,0.112,0.888,0.0,"? ""There's always that voice in the back of your head that says you're not good enough"". 

 ? @CarrieHFletcher on b… https://t.co/0AsBxFFiQA",31,@BBC
0.0,Mon Mar 19 12:55:17 +0000 2018,0.0,1.0,0.0,RT @BBCRadioScot: This must have been some buzz! ??? https://t.co/0gqtbQBN1i,32,@BBC
0.0,Mon Mar 19 12:30:05 +0000 2018,0.0,1.0,0.0,Where are the UK's youngest and oldest city populations? https://t.co/eIU7UzqHBS https://t.co/vdXMTDluuX,33,@BBC
-0.0516,Mon Mar 19 11:50:58 +0000 2018,0.107,0.893,0.0,RT @BBCSport: This 102-shot badminton rally will leave you exhausted... https://t.co/LFC4r4iwiz,34,@BBC
0.4588,Mon Mar 19 11:33:04 +0000 2018,0.0,0.857,0.143,"Have you got a passion for plants? ?????

Test your knowledge of all things foliage in this quiz. ?… https://t.co/evogV5ljAc",35,@BBC
0.0,Mon Mar 19 10:53:19 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: ? The Commonwealth Games are almost upon us! ?

Scotland's Lynsey Sharp has given us the inside track on preparing for succes…",36,@BBC
0.5106,Mon Mar 19 10:33:03 +0000 2018,0.0,0.837,0.163,The oldest dog that the Dogs Trust has ever looked after has been given a new home. ????https://t.co/h0WQHkfMEf https://t.co/ixb7gesOIj,37,@BBC
-0.3818,Mon Mar 19 09:58:24 +0000 2018,0.191,0.809,0.0,"RT @BBCR1: Desperately searching for any signs of spring like... ?

#MondayMotivation https://t.co/9jo3h4C7bu",38,@BBC
0.4199,Mon Mar 19 09:58:15 +0000 2018,0.0,0.843,0.157,"RT @BBCRadioWales: ?? Snowy Cardiff! ?? 

What’s it like for you?

#ButePark 
#Cardiff 
#MiniBeast
#Snow https://t.co/O8gY1qjHVE",39,@BBC
0.0,Mon Mar 19 09:58:10 +0000 2018,0.0,1.0,0.0,"RT @BBCNews: Stem cell transplant ""game changer"" for MS patients https://t.co/BGWtdtXUAP",40,@BBC
0.128,Mon Mar 19 09:57:58 +0000 2018,0.079,0.789,0.133,RT @BBCBreakfast: Anyone want to play a game of spot Tracey's feet? Our floor manager Tracey had to dive behind the sofa to avoid being on…,41,@BBC
0.3642,Mon Mar 19 09:32:02 +0000 2018,0.0,0.848,0.152,"'Who wants a normal life?' We should all be a little more like @chessmartinez. ?? #LiveAtTheApollo

https://t.co/VddL8zWJfS",42,@BBC
0.0,Mon Mar 19 09:27:50 +0000 2018,0.0,1.0,0.0,"RT @BBCWthrWatchers: Some incredible photos sent in last night of the #Auroraborealis from Skye Woody, Cumbrian stargazer and DJStewie.  Di…",43,@BBC
0.5994,Mon Mar 19 08:45:02 +0000 2018,0.0,0.738,0.262,Beautiful spring blossom in south-west China has been captured by drone https://t.co/WTo7JjiKXw,44,@BBC
-0.296,Mon Mar 19 08:02:00 +0000 2018,0.109,0.891,0.0,"? Should we still be worried about the hole in the ozone layer?

? @SimonOKing and @clarenasir investigate in their… https://t.co/SZV3Df9y0t",45,@BBC
0.0,Sun Mar 18 20:30:11 +0000 2018,0.0,1.0,0.0,"?? @LesDennis, @SimplySusannah, @Tameka_Empson and Miles Jupp embark on a muscle-grinding mission to regain their f… https://t.co/B1rXaalmk2",46,@BBC
0.0258,Sun Mar 18 20:03:04 +0000 2018,0.086,0.824,0.09,?? Fans of K-Pop boyband member @IBGDRGN have been asked to stop sending fan mail to the army base where he's doing… https://t.co/ojtDZ3gMfb,47,@BBC
0.5994,Sun Mar 18 19:33:04 +0000 2018,0.0,0.803,0.197,"Saoirse Ronan stars as Eilis, a young girl who jumps at the chance of a better life when she emigrates to New York.… https://t.co/NtHAfh6cjZ",48,@BBC
-0.5994,Sun Mar 18 18:44:02 +0000 2018,0.163,0.837,0.0,"Ruth Ellis was only 28 when she became the last woman hanged to death in the UK. 

#TheRuthEllisFiles | Watch on… https://t.co/5kUIFtom7t",49,@BBC
0.204,Sun Mar 18 18:34:14 +0000 2018,0.077,0.772,0.151,"RT @BBC_TopGear: 840bhp goes a little like this…

@Matt_LeBlanc takes the Dodge Challenger SRT #Demon to the drag strip in this Sunday’s @T…",50,@BBC
0.7331,Sun Mar 18 17:18:12 +0000 2018,0.0,0.66,0.34,"RT @bbcthree: Be honest, do you think you'll be this fit at 81? https://t.co/Eca0uGCF6b",51,@BBC
0.0,Sun Mar 18 17:04:03 +0000 2018,0.0,1.0,0.0,"?? How much food do you throw away? If you're a typical Brit, you probably think it's hardly any.

You're in denial… https://t.co/0bSCbRrZJr",52,@BBC
0.0,Sun Mar 18 16:33:17 +0000 2018,0.0,1.0,0.0,"????Zun Lee wants his photography to give a balanced and nuanced portrayal of black fatherhood.

?… https://t.co/LodRrr27fd",53,@BBC
0.0,Sun Mar 18 15:41:04 +0000 2018,0.0,1.0,0.0,"? A doctor explains why you can get pregnant and give birth without having a baby bump. 
? https://t.co/nVrSpQoTOT https://t.co/iEEOjZdBKL",54,@BBC
0.0772,Sun Mar 18 14:33:07 +0000 2018,0.0,0.947,0.053,RT @BBCEngland: A number of runners have held their own half-marathon in Reading after the official event was called off due to the snowy w…,55,@BBC
0.0,Sun Mar 18 14:28:23 +0000 2018,0.0,1.0,0.0,RT @BBCSport: They’ve done it! Gold for GB’s Menna Fitzpatrick and Jen Kehoe in the visually impaired slalom at the Winter Paralympics. And…,56,@BBC
0.0,Sun Mar 18 14:18:01 +0000 2018,0.0,1.0,0.0,?? Why a rise in electric cars could also mean a hike in the cost of your next phone. https://t.co/6i5xFQgRIW,57,@BBC
0.6369,Sun Mar 18 14:08:37 +0000 2018,0.0,0.682,0.318,RT @BBC6Music: ?? Which song has the greatest opening line?,58,@BBC
0.3182,Sun Mar 18 13:45:03 +0000 2018,0.0,0.905,0.095,?Pop music is awash with those that released one hit album and never followed it up. Here are 7 huge artists that o… https://t.co/4ukT9drcdG,59,@BBC
0.0,Sun Mar 18 13:00:08 +0000 2018,0.0,1.0,0.0,"?? Would you eat a burger pie?  
#BackInTimeForTea https://t.co/zGWzJwdSlM",60,@BBC
0.0,Sun Mar 18 12:29:50 +0000 2018,0.0,1.0,0.0,RT @BBCOne: If food is the language of love... https://t.co/5hnYovE94o,61,@BBC
-0.4588,Sun Mar 18 11:43:04 +0000 2018,0.167,0.833,0.0,"Ever wondered why David Bowie wore an eye patch?

Strange things artists have worn on stage and the reasons why. 
?… https://t.co/8zSBXQkLvy",62,@BBC
0.4939,Sun Mar 18 10:30:04 +0000 2018,0.0,0.826,0.174,"?? Want to learn how to bake bread?

These easy to follow recipes and step-by-step videos will have you baking ever… https://t.co/iXEmj5WJdD",63,@BBC
-0.4215,Sun Mar 18 10:00:08 +0000 2018,0.259,0.741,0.0,"“I regret spending £50,000 on my wedding.” https://t.co/6PxJsDf9dn https://t.co/eJdx7KMmmK",64,@BBC
0.0,Sun Mar 18 09:30:03 +0000 2018,0.0,1.0,0.0,"How to be 20 on the inside, even when you’re 80 on the outside... https://t.co/KB2mqpkrIB",65,@BBC
0.656,Sun Mar 18 09:19:33 +0000 2018,0.061,0.727,0.212,"RT @BBCNews: Snow and ice are bringing disruption to many parts of the UK - but they're not stopping everyone from having fun ???

https://…",66,@BBC
0.0,Sun Mar 18 09:10:02 +0000 2018,0.0,1.0,0.0,"RT @bbc5live: The beast from the east is back ????

You've been in touch this morning with your #uksnow pics, here are just a few...

What'…",67,@BBC
0.0,Sat Mar 17 20:02:01 +0000 2018,0.0,1.0,0.0,"These seven celebrities are about to go on the journey of a lifetime... #Pilgrimage
https://t.co/m45UBXJew2",68,@BBC
0.0,Sat Mar 17 19:21:02 +0000 2018,0.0,1.0,0.0,Can we just take a moment to discuss Eddie Redmanyne's coats?https://t.co/odVkhWyRKs,69,@BBC
0.0,Sat Mar 17 18:32:01 +0000 2018,0.0,1.0,0.0,"Ouch! ??@GordonRamsay's daughter is hilarious... 
https://t.co/0dqwntX5uj",70,@BBC
0.3612,Sat Mar 17 18:03:04 +0000 2018,0.0,0.857,0.143,"?1?2?3?Sir David Attenborough explores whether there is counting in the natural world. 

David Attenborough's Natur… https://t.co/Q4H4uXR4pt",71,@BBC
0.3182,Sat Mar 17 17:30:07 +0000 2018,0.0,0.901,0.099,One of the writers for The Simpsons has told @BBCNewsbeat Stephen Hawking was such a big fan of the show - he'd sho… https://t.co/Jjer3V4cYk,72,@BBC
0.4767,Sat Mar 17 17:00:08 +0000 2018,0.0,0.785,0.215,"?? 'The moment I gave Reese Witherspoon my Legally Blonde dissertation... and yes, it was scented.'
?… https://t.co/z8x5mqqKoW",73,@BBC
0.0,Sat Mar 17 16:39:39 +0000 2018,0.0,1.0,0.0,RT @BBCWorld: Blossom in south-west China captured by drone https://t.co/gIDKUn1La6,74,@BBC
0.0,Sat Mar 17 15:03:12 +0000 2018,0.0,1.0,0.0,"This year, over 250 landmarks across the globe are going green for #StPatricksDay! ? https://t.co/TlWqU0TXQT https://t.co/i4sW4OaGrQ",75,@BBC
0.0,Sat Mar 17 14:43:43 +0000 2018,0.0,1.0,0.0,"RT @BBCRadio3: ""Even if we found a complete theory of the universe, it wouldn't remove the need for music"" - #StephenHawking
https://t.co/t…",76,@BBC
0.8625,Sat Mar 17 14:00:30 +0000 2018,0.0,0.699,0.301,??? George has autism and other health conditions - but his love of skiing is helping him take on the outside world. https://t.co/kfCzRzkcNY,77,@BBC
0.3628,Sat Mar 17 13:46:15 +0000 2018,0.073,0.784,0.143,"RT @5liveSport: 'My mates didn't know I was playing @realmadrid'

@ManUtd's @carras16 tells @ColinMurray his friends keep him grounded…

'A…",78,@BBC
0.4019,Sat Mar 17 13:00:08 +0000 2018,0.0,0.881,0.119,"Yes, Gary Oldman and @BBCEastEnders' Big Mo are brother and sister. 

But do you know these other celeb family ties… https://t.co/dtzMwD3nBB",79,@BBC
-0.7244,Sat Mar 17 12:39:41 +0000 2018,0.336,0.664,0.0,"RT @BBCOne: .@NiallOfficial won't let fame get to his head - Ireland won't allow it. 

Happy #StPatricksDay ? https://t.co/OrWR94HStF",80,@BBC
0.5106,Sat Mar 17 12:00:09 +0000 2018,0.112,0.643,0.245,??? This shop encourages you to bring your own container from home to save on single-use plastic waste. https://t.co/TdHJSycKtO,81,@BBC
0.8883,Sat Mar 17 11:30:09 +0000 2018,0.0,0.488,0.512,?? ? Celebrate #StPatricksDay in true Irish style with these delicious recipes! ?https://t.co/2MCMlz6K0B https://t.co/k18P3Syx2N,82,@BBC
0.6249,Sat Mar 17 11:03:05 +0000 2018,0.0,0.796,0.204,From scrambled eggs to chilli-spiced crisps: here are six great ways to cook with kale. ??https://t.co/lqKD1h83Iv https://t.co/yWESBJm62q,83,@BBC
0.6996,Sat Mar 17 10:14:25 +0000 2018,0.066,0.658,0.276,RT @BBCTwo: Happy #StPatricksDay! Check out what's lurking beneath the calm waters of Ireland's west coast... ??? https://t.co/6MQgyLTlIr,84,@BBC
0.0,Sat Mar 17 10:00:02 +0000 2018,0.0,1.0,0.0,"?? Did you know that bullfinches can learn to sing a tune by mimicking humans?

? Sound on for this one!  https://t.co/44OFulioZp",85,@BBC
-0.7717,Sat Mar 17 09:39:19 +0000 2018,0.251,0.749,0.0,"RT @BBCEngland: Stephen Hawking's PhD thesis has been viewed 250,000 times online since news of his death broke on Wednesday, the Universit…",86,@BBC
0.6369,Sat Mar 17 09:00:06 +0000 2018,0.0,0.714,0.286,"Ready to get active?
? Here are 5 ways you can get involved in #SportRelief2018. 
? https://t.co/wmKUWBDBjp https://t.co/xr7g5Hw4PK",87,@BBC
0.7783,Fri Mar 16 19:38:34 +0000 2018,0.0,0.726,0.274,"RT @BBCR1: This guy just raised over a million pounds for @sportrelief ??

Congratulations on completing a truly mammoth task @gregjames, w…",88,@BBC
0.4926,Fri Mar 16 18:31:01 +0000 2018,0.0,0.61,0.39,???? Keepy-uppy the good work! https://t.co/lFtKEBxjNJ,89,@BBC
0.5719,Fri Mar 16 17:00:25 +0000 2018,0.0,0.791,0.209,??? Bradley has never let Asperger's hold him back from doing what he loves. https://t.co/5JFvIXeDSZ,90,@BBC
0.0,Fri Mar 16 16:30:01 +0000 2018,0.0,1.0,0.0,"Running for the door on a Friday afternoon like...
#FridayFeeling https://t.co/optoQcK1TV",91,@BBC
0.0,Fri Mar 16 16:00:00 +0000 2018,0.0,1.0,0.0,??Jarvis Cocker describes the dream-like experience of visiting La Monte Young's Dreamhouse.… https://t.co/O9u7sPRL5m,92,@BBC
0.0,Fri Mar 16 14:25:15 +0000 2018,0.0,1.0,0.0,"RT @BBCR1: The gruelling task of climbing Ben Nevis in underway for @gregjames after cycling 180 miles in a day and a half!

Don't know abo…",93,@BBC
0.34,Fri Mar 16 14:00:13 +0000 2018,0.0,0.841,0.159,Prepare to get that warm fuzzy feeling - the man who photobombed his wife 11 years before he met her:… https://t.co/iZBJ8dEKhz,94,@BBC
0.6124,Fri Mar 16 12:59:01 +0000 2018,0.0,0.667,0.333,?? Why are soap bubbles such gorgeous colours? https://t.co/ppaXTcvWRZ,95,@BBC
0.3612,Fri Mar 16 12:38:40 +0000 2018,0.0,0.902,0.098,"RT @BBCNewsPR: Get ready to make the headlines. 

Try out our new BBC iReporter game, putting you in the heart of the newsroom #BBCSchoolRe…",96,@BBC
-0.6486,Fri Mar 16 12:00:04 +0000 2018,0.238,0.762,0.0,"? Fights, funerals, and giant furry heads... @BBCThree lifts the lid on the lives of English football's mascots
?… https://t.co/gEYxoetlah",97,@BBC
0.5574,Fri Mar 16 10:45:24 +0000 2018,0.0,0.841,0.159,"RT @BBCRadio2: It's with a heavy heart that today we announce, after 18 fantastic years, @realLynnBowles is leaving Radio 2. ?

@realkenbru…",98,@BBC
0.0,Fri Mar 16 10:02:00 +0000 2018,0.0,1.0,0.0,Are you getting enough sleep? This simple test will tell you... ??#WorldSleepDay https://t.co/SP28dsdLSf,99,@BBC
0.0,Tue Mar 20 17:58:43 +0000 2018,0.0,1.0,0.0,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…,0,@CBS
0.5562,Tue Mar 20 16:52:42 +0000 2018,0.0,0.826,0.174,RT @ladyantebellum: Ecstatic to announce we'll be performing at the #ACMawards in Las Vegas again this year! https://t.co/Qfhs94j6FR,1,@CBS
0.0,Tue Mar 20 16:11:00 +0000 2018,0.0,1.0,0.0,"Country superstars @kennychesney, @ladyantebellum, @blakeshelton, and @KeithUrban have just been added to the stell… https://t.co/bJ4If7MacP",2,@CBS
0.7845,Mon Mar 19 21:02:26 +0000 2018,0.072,0.619,0.309,"RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ?? Get ready to celebrate 45 years of #YR starting in just…",3,@CBS
0.0,Sun Mar 18 23:44:30 +0000 2018,0.0,1.0,0.0,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,4,@CBS
0.6514,Sun Mar 18 18:05:43 +0000 2018,0.0,0.787,0.213,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,5,@CBS
0.1867,Sun Mar 18 17:09:53 +0000 2018,0.0,0.92,0.08,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",6,@CBS
0.0,Sat Mar 17 19:00:02 +0000 2018,0.0,1.0,0.0,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",7,@CBS
0.6166,Sat Mar 17 17:42:43 +0000 2018,0.0,0.839,0.161,How is your bracket looking after last night? Stream Second Round games LIVE today with a FREE trial of CBS All Acc… https://t.co/25JlIpgwog,8,@CBS
0.7096,Sat Mar 17 14:00:03 +0000 2018,0.0,0.753,0.247,Where better to spend #StPatricksDay than the place everybody knows your name? It’s just your luck that every singl… https://t.co/Fom5wmdENL,9,@CBS
0.296,Fri Mar 16 22:53:21 +0000 2018,0.0,0.896,0.104,Stars @JakeMcDorman and Nik Dodani will join the cast in the upcoming revival of Murphy Brown coming to CBS.… https://t.co/JCAx29lo0i,10,@CBS
0.0,Fri Mar 16 18:15:53 +0000 2018,0.0,1.0,0.0,"RT @thegoodfight: Go behind the scenes with costume designer @DanLawsonStyle in ""Behind The Style,"" a new weekly video series all about the…",11,@CBS
0.6514,Fri Mar 16 16:28:40 +0000 2018,0.0,0.822,0.178,The games have just begun! Continue to stream First Round games LIVE today with a FREE trial of CBS All Access:… https://t.co/YTGsJ48zYP,12,@CBS
0.7088,Thu Mar 15 17:54:06 +0000 2018,0.0,0.763,0.237,"RT @TheTalkCBS: You asked, we answered! The fun never ends when the ladies #KeepTalking and answer your fan questions ???? https://t.co/ie1…",13,@CBS
-0.4939,Thu Mar 15 17:20:26 +0000 2018,0.157,0.766,0.077,RT @instinctcbs: Dr. Dylan Reinhart is lured back into the field from his life of quiet academia when a certain serial killer makes things…,14,@CBS
0.6514,Thu Mar 15 16:42:41 +0000 2018,0.0,0.806,0.194,Stream First Round games LIVE today starting at 12PM ET with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/vZow3YD8cb,15,@CBS
0.6115,Thu Mar 15 14:32:16 +0000 2018,0.0,0.734,0.266,RT @CBSSports: It's the most wonderful time of the year. #MarchMadness https://t.co/e4c9qohqSR,16,@CBS
0.6696,Wed Mar 14 19:30:01 +0000 2018,0.0,0.781,0.219,"Give these ladies some love! @Lauren_Alaina, @DBradbery, @carlypearce, and @RaeLynn are nominated for New Female Vo… https://t.co/IVhwURfJ3S",17,@CBS
0.3612,Tue Mar 13 18:48:52 +0000 2018,0.0,0.857,0.143,"RT @ManWithAPlan: Hungry for more #ManWithAPlan bloopers and behind-the-scenes videos featuring cast like @matt_leblanc, @thelizasnyder, @k…",18,@CBS
0.539,Tue Mar 13 14:15:10 +0000 2018,0.0,0.821,0.179,"Music stars @MileyCyrus, @edsheeran, @ladygaga, and more will honor the legendary @eltonofficial and his hit songs… https://t.co/UzxARCCLnI",19,@CBS
0.2244,Mon Mar 12 18:13:28 +0000 2018,0.0,0.917,0.083,RT @thegoodfight: The verdict is in. The new season of #TheGoodFight is ???! Stream it now on CBS All Access: https://t.co/FkYSNSXlRb https…,20,@CBS
0.0,Mon Mar 12 01:20:43 +0000 2018,0.0,1.0,0.0,"RT @MadamSecretary: In less than an hour, #MadamSecretary's Keith Carradine will be taking over the @MadamSecretary Twitter page! Tweet alo…",21,@CBS
0.4926,Fri Mar 09 22:48:26 +0000 2018,0.0,0.883,0.117,RT @DierksBentley: Take and post a photo of the woman in your life who inspires you daily! Use the hashtag #WomanAmenACM in your post for a…,22,@CBS
0.1275,Fri Mar 09 22:24:20 +0000 2018,0.092,0.795,0.113,"RT @MomCBS: If you missed guest star @KChenoweth in the latest episode of #Mom, not to worry! Watch now: https://t.co/RlvXoGOZ0l https://t.…",23,@CBS
0.4215,Fri Mar 09 21:10:21 +0000 2018,0.0,0.823,0.177,"Give a round of applause to @KelseaBallerini, @MirandaLambert, @Reba, @MarenMorris, and @CarrieUnderwood, the five… https://t.co/Ncp1BTXx6N",24,@CBS
0.8658,Fri Mar 09 18:27:28 +0000 2018,0.0,0.553,0.447,"RT @thegoodfight: Smart, sexy, and sophisticated. See what's coming this season on #TheGoodFight. https://t.co/CuKhx2G50P https://t.co/ygTI…",25,@CBS
0.0,Fri Mar 09 16:02:27 +0000 2018,0.0,1.0,0.0,RT @BlueBloods_CBS: Even stand-up guys fall down sometimes. #BlueBloods is new tonight at 10/9c! https://t.co/UOlDm22wWW,26,@CBS
